question,answer,similar_questions
Why am I getting a higher price while renewing my Vyapar license?,"Renewal prices are **usually lower than new purchase prices**.  
A **10% renewal discount** is **automatically applied** and is **already included** in the renewal amount shown before payment.

---

### **Common reasons why the renewal price may appear higher**
- You are selecting a **higher plan** than your current plan, or
- You are renewing for a **longer duration**  
  (for example, upgrading from **1 year to 3 years**)

In these cases, the total payable amount will naturally be higher, even though the **renewal discount is applied**.

---

### **Important Note**
- The **10% renewal discount is fixed** and is applied **automatically**
- This discount **cannot be increased or customized** at the user level

---

### **When to Escalate**
- If the user is **not satisfied with the renewal price or discount**  

➡️ **Escalate the case to a senior agent** for further review and assistance.
","- Renewal ke time price zyada kyu dikh raha hai?
- Maine to renew kiya hai, phir bhi amount high kyu hai?
- Kya renewal par discount apply hota hai?
- 10% se zyada renewal discount mil sakta hai kya?
- Renewal price new purchase se zyada kyu lag raha hai?
"
How does the Vyapar licensing system work (device limits and multiple devices)?,"Vyapar licensing is **device-based**, not company-based.  
This means **one license can be used on only one device at a time**.

- A **Mobile license** can be used on **one mobile device only**
- A **Desktop license** can be used on **one desktop device only**
- A **Combo plan** allows usage on:
  - **One mobile device**, and  
  - **One desktop device**

To use Vyapar on **additional devices**, you must purchase **separate licenses**.

When a license is **renewed**:
- The **same license ID remains**
- Only the **validity period is extended**
- No new license is generated
","- Ek license kitne device me use ho sakta hai?
- Kya ek hi license mobile aur laptop dono me chalega?
- Mere paas mobile + desktop license hai, phir bhi dusre device me license maang raha hai
- Dusre laptop me Vyapar chalana hai, kya naya license lena padega?
- Ek hi license do computer me use kar sakte hain kya?
- Combo plan ka matlab kya hota hai device ke hisaab se?
- Mera license expire hua tha, renew kiya hai to ID change hogi kya?
"
Can I use a mobile license on my desktop or a desktop license on my mobile?,"No. You **cannot use a mobile license on a desktop**, and you **cannot use a desktop license on a mobile**.

- A **Mobile license** works **only on mobile devices**
- A **Desktop license** works **only on desktop PCs or laptops**
- To use Vyapar on **both mobile and desktop**, you must purchase a **Mobile + Desktop (Combo) plan**
","- Mobile license laptop me chalega kya?
- Desktop license mobile me use kar sakte hain kya?
- Mere paas mobile license hai, desktop pe Vyapar open kar raha hoon to license maang raha hai
- Ek hi license mobile aur laptop dono me use ho sakta hai kya?
- Combo plan lena padega kya mobile aur desktop dono ke liye?
- Mobile + desktop ka license kaise kaam karta hai?
"
I changed my device — do I need to buy a new license? How often can I change devices?,"No, you **do not need to buy a new license** if you change your device.

- You can **re-attach the existing license to the new device** 
- A single license can be used on **only one device at a time**  
  (except for a **Combo plan**, which allows one mobile and one desktop)
- You can **change devices multiple times**, but:
  - The license must be **manually re-attached each time** from **Plans & Pricing**
  - Only **one active device** can use the license at any moment

Frequent device changes may require you to **attach the license again on each new device**.
","- Naya laptop liya hai, kya naya license lena padega?
- Mobile change kiya hai, license dobara buy karna hoga kya?
- Plans & Pricing se license dobara attach kar sakte hain kya?
- Ek device se dusre device me license shift kaise karein?
- Kitni baar device change kar sakte hain license ke saath?
- New phone me Vyapar install kiya hai, license kaise attach hoga?
"
"When attaching a license, I get errors like “already linked to another user” or “license associated with another user”. How do I fix this?","This error can occur due to the following reasons:
- A **license is already attached to the current device**, and you are trying to attach **another license**
- The **date and time settings** on your device are incorrect
- A **VPN is enabled** on your device

**Steps to fix the issue:**
- First, **attach the license that is currently linked to this device on another device**  
  This will **automatically detach** it from the existing device
- After that, **attach the correct license** on the current device
- Ensure the **device date and time** are set correctly (preferably set to **Automatic**)
- **Disable any VPN** before attaching the license

After completing these steps, try attaching the license again.  
If the issue still persists, **escalate the case to a senior agent**.
","- License already linked to another user aa raha hai, kya karein?
- “License associated with another user” error kyu aa raha hai?
- Vyapar bol raha hai license pehle se kisi aur device me linked hai
- Ek license attach karte time error aa raha hai, kaise solve hoga?
- License attach karne par dusre user ka error dikha raha hai
- VPN on hone se license attach nahi ho raha kya?
- Date time galat hone se license error aa sakta hai kya?
"
How can I detach a Vyapar license from my old device or from the current device?,"If your Vyapar license is **already attached to another device**, or if it is **attached to your current device and you want to detach it**, you do **not need to manually remove it first**.

- Simply **attach the same license to another device** using the **license-registered mobile number or email**
- Once the license is successfully attached to the **new device**, it will be **automatically detached** from the device where it was previously attached
- Only **one device can use a single license at a time**

This automatic transfer ensures that the license is always active on **only one device at a time**.

---

#### **Important Notes**
- To **detach a license**, it must be **attached to another device**
- The **new device must not already have any license attached**, otherwise the **Attach License option will not be visible**

---

#### **When to Escalate**
- If the customer is **unable to follow the steps**, or  
- If the customer says they **do not have another device** to attach the license  

➡️ **Escalate the case to a senior agent** for further assistance.
","- Mera license purane device me laga hua hai, kaise remove karein?
- Current device se license hatana hai, kya process hoga?
- License kisi aur device me shift karna hai, detach kaise hoga?
- Kya manually license remove karna padta hai?
- Dusre phone ya laptop me license attach karne par purane device se hat jayega kya?
- License ek device se dusre device me kaise transfer hota hai?
"
How many companies can I create or access in Vyapar Free Trial or with a purchased license? Will companies get locked if the license is missing?,"The number of companies you can create or access in Vyapar depends on the **plan you are using**.

#### Company limits by plan
- **Free Trial (Desktop – Windows & Mac)**: Unlimited companies  
- **Free Version (Mobile App)**: Up to **2 companies**
- **Vyapar Silver Plan**: Up to **3 companies**
- **Vyapar Gold Plan**: Up to **5 companies**
- **Manufacturing Pro**: Unlimited companies
- **Retail Pro**: Unlimited companies
- **Distributor Pro**: Unlimited companies
- **Vyapar Platinum**: Unlimited companies

#### What happens if you exceed the company limit?
- If you create **more companies than allowed** by your license:
  - The **extra companies will get locked**
- To unlock them, you need to **upgrade to a license plan** that supports more or unlimited companies.

#### What happens if the license is missing or expired?
- **Companies are not deleted**
- **All data remains safe**
- **Transaction entry is locked** until:
  - The license is **attached**, or
  - The license is **renewed**

Once the correct license is attached or renewed, all companies and transactions become accessible again.



","- Free version me kitni company bana sakte hain?
- Desktop free trial me unlimited company hoti hai kya?
- Silver ya Gold plan me company limit kya hai?
- Extra company bana li to lock ho jayegi kya?
- License expire ho gaya to company delete ho jayegi kya?
- License attach nahi hai to data safe rahega kya?
- Company unlock karne ke liye kya karna padega?
"
"I bought a license but get an error that it is not valid in my country, or the price shows in dollars while I am in India. What should I do?","This issue usually occurs due to an **incorrect company country selection** or **VPN usage**.

If you have already purchased an **India license** but see:
- A **“license not valid in your country”** error, or  
- Prices displayed in **dollars instead of INR**,  

then the system is treating your company as an **international setup**.

#### Steps to resolve the issue
- **Turn off any VPN** on your device
- Check the **company country** and ensure it is set to **India**
- If required, **create a new company** and select **India** as the country
- Confirm that you have purchased the **India region license**

#### When to Escalate
If the issue is **still not resolved after completing all the above steps**,  
**Escalate the case to a senior agent** for further investigation and resolution.
","- Maine India ka license liya hai, phir bhi dollar me price kyu dikha raha hai?
- License bol raha hai country ke liye valid nahi hai
- Vyapar USD me price dikha raha hai jab main India me hoon
- Country invalid ka error aa raha hai, kaise fix hoga?
- VPN on hone se license issue aa sakta hai kya?
- Company banate time country galat select ho gayi hogi kya?
"
"What is included in the Vyapar Gold plan, and how is it different from the Silver plan?","The **Vyapar Gold plan** includes **all Silver plan features**, along with additional **advanced accounting, automation, and reporting features**.

---

#### **Features available in Gold but NOT in Silver**

The Gold plan provides the following exclusive features:

1. Combine multiple **Sales Orders or Delivery Challans** into a single sale  
2. Full **Accounting Module**
3. **WhatsApp Connect**
4. **Party-wise Profit & Loss report**
5. **Bulk update of items**
6. Set **credit limits** for parties
7. Add and manage **Fixed Assets**
8. **Automated payment reminders**
9. Add **TCS** on invoices
10. Set **different rates for each party**
11. Check **profit on invoices**
12. Send transaction messages to **self**
13. Send alerts on **transaction updates**
14. Add **TDS** on invoices
15. **Service reminders**

---

#### **Usage limits: Silver vs Gold**

- **E-way Bills**
  - Silver: **10 per month**
  - Gold: **Unlimited**

- **Restore deleted transactions**
  - Silver: **2 times**
  - Gold: **Unlimited**

- **Companies**
  - Silver: **Up to 3**
  - Gold: **Up to 5**

- **Multi-firm creation**
  - Silver: **Up to 3 firms**
  - Gold: **Up to 5 firms**
","- Gold plan me kya extra milta hai jo Silver me nahi hota?
- Silver aur Gold plan ka difference kya hai?
- Accounting features kaunsa plan me milte hain?
- WhatsApp billing Gold plan me available hai kya?
- Party-wise profit report kis plan me milta hai?
- Silver se Gold upgrade karne ka benefit kya hai?
- Gold plan me limits zyada hoti hain kya?
"
Is the Vyapar plan price a one-time payment? Are there any additional maintenance charges?,"Vyapar pricing is **subscription-based**, not a lifetime purchase.

- You pay **once for the selected duration** (either **1 year** or **3 years**)
- There are **no hidden or additional maintenance charges**
- The plan needs to be **renewed only after it expires**

No extra charges are applied during the active subscription period.
","- Kya Vyapar ka plan lifetime ke liye hota hai?
- Ek baar payment karne ke baad dobara charges lagte hain kya?
- Maintenance charges alag se dene padte hain kya?
- Plan expire hone ke baad kya karna hota hai?
- Yearly renewal compulsory hota hai kya?
- 1 year aur 3 year plan ka payment kaise hota hai?
"
"What about Vyapar POS — is there a monthly fee, and how is POS supported?","Vyapar POS is available **only under the Retail Pro plan**.  
There is **no separate monthly POS plan** and **no separate POS-only app**.

- Vyapar POS features are supported **only on the Desktop app (Windows & Mac)**
- POS works **within the Vyapar Desktop application**
- POS is **not available on the mobile app**
- POS is available only with **1-year and 3-year subscription plans**

To use POS features, you must purchase or renew the **Retail Pro Desktop plan**.
","- Vyapar POS ke liye monthly charges lagte hain kya?
- POS ke liye alag se koi monthly plan hota hai kya?
- Retail Pro plan me POS feature included hota hai kya?
- POS use karne ke liye kaunsa Vyapar plan lena padega?
- Kya Vyapar POS mobile app par bhi kaam karta hai?
- POS sirf desktop me chalta hai ya mobile me bhi?
- POS ke liye 1 year aur 3 year plan hi available hote hain kya?
"
Can I cancel my subscription and get a refund? How do I request it?,"You can request a **refund within 7 days** from the **date of license purchase**.

---

#### **Refund request process**
To request a refund, send an email to **support@vyaparapp.in** with the following details:

- **License-registered mobile number or email**
- **License ID**
- **Reason for the refund**
- **Payment proof**

---

#### **What happens after raising the request**
- The **Vyapar support team** will review your request
- You will be contacted within **24–48 hours**
- If the refund request is **approved**:
  - The amount will be credited back to the **same bank account** used for payment
  - The refund is usually processed within **5–7 working days**

Refunds are processed **as per Vyapar’s refund policy and approval process**.


","- Sir refund milega kya Vyapar ka?
- Maine abhi license liya hai, cancel karke paisa wapas milega kya?
- Purchase ke baad refund possible hai kya?
- Kitne din ke andar refund ke liye apply kar sakte hain?
- Vyapar ka refund ka process kya hai?
- Refund ke liye email me kya-kya details bhejni hoti hain?
- Paisa wapas aane me kitna time lagta hai?
- Agar mujhe software use nahi karna ho to refund kaise milega?
"
"How can I check whether my license is Mobile-only or Mobile + Desktop, how many licenses are linked to my mobile number/email, and which devices they are attached to?","You can check the **license type**, **number of licenses**, and **attached devices** by logging in to the **Vyapar website** using your **license-registered mobile number or email**.

All licenses purchased using the **same mobile number or email** are shown together in one list.

For each license, you can see:
- **License type** (Mobile / Desktop / Combo)
- **Validity / expiry date**
- **Attached device(s)**

---

#### **Steps to check license details on the Vyapar website**
- Go to **vyaparapp.in**
- Click **Login**
- Log in using the **registered mobile number or email**
- Go to **My Account**
- Click **Already Have a License**
- View the **license list**
- Check the **device type** and **device IDs** to see where each license is attached

---

#### **When to Escalate**
- If the user is **unable to follow this process**, or  
- If the user says **“You check from my number and tell me”** and does not want to do it themselves  

➡️ **Escalate the case to a senior agent**.  
The senior agent will **check the license details from the backend** and **inform the user** about:
- License type
- Number of licenses
- Attached devices
","- Mera license mobile ka hai ya mobile + desktop ka, kaise check karein?
- Ek number se kitne licenses linked hain, kaise pata chalega?
- Kaun-kaun se devices me mera license attached hai?
- License ka device type kaha dikhega?
- Mere email/number pe kaun se licenses active hain?
- Aap mere number se check karke bata sakte ho kya kaun sa license laga hai?
"
